Fri 26/01/24 00:47:05 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur.png
Fri 26/01/24 00:47:11 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur2.png
Fri 26/01/24 00:47:51 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:47:52 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\family.png
Fri 26/01/24 00:47:54 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur.png
Fri 26/01/24 00:48:00 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\utilisateur.png
Fri 26/01/24 00:48:00 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur2.png
Fri 26/01/24 00:48:40 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:48:41 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\family.png
Fri 26/01/24 00:48:42 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur.png
Fri 26/01/24 00:48:48 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur2.png
Fri 26/01/24 00:48:55 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\utilisateur2.png
Fri 26/01/24 00:48:55 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\insee.png
Fri 26/01/24 00:48:57 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\ok.png
Fri 26/01/24 00:48:58 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:49:05 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:49:05 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\fermer.png
Fri 26/01/24 00:49:12 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\fermer.png
Fri 26/01/24 00:50:03 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:50:04 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\family.png
Fri 26/01/24 00:50:05 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur.png
Fri 26/01/24 00:50:11 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\insee.png
Fri 26/01/24 00:50:12 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\ok.png
Fri 26/01/24 00:50:19 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\ok.png
Fri 26/01/24 00:50:19 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:50:26 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:50:26 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\fermer.png
Fri 26/01/24 00:50:32 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:50:33 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\family.png
Fri 26/01/24 00:50:34 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur.png
Fri 26/01/24 00:50:36 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\insee.png
Fri 26/01/24 00:50:37 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\ok.png
Fri 26/01/24 00:50:39 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:50:45 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:50:45 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\fermer.png
Fri 26/01/24 00:52:00 | DEBUG    | utils_pyautogui:desktop:19 - Afficher bureau
Fri 26/01/24 00:52:01 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\family.png
Fri 26/01/24 00:52:02 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\utilisateur.png
Fri 26/01/24 00:52:09 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\insee.png
Fri 26/01/24 00:52:11 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\ok.png
Fri 26/01/24 00:52:12 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:52:19 | ERROR    | utils_pyautogui:clickOn:33 - NOT CLICK : C:\Users\Xuan\Projects\INSEE\pictures\mail.png
Fri 26/01/24 00:52:19 | DEBUG    | utils_pyautogui:clickOn:27 - Click C:\Users\Xuan\Projects\INSEE\pictures\fermer.png
